url,status,chars,error
http://nykaa.com/media/wysiwyg/uiTools/2026-8/NykaaPressRelease.pdf,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
http://pitchbook.com/profiles/company/172275-22,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
http://tracxn.com/d/companies/hasura/__SMK3S7BMgtsGtSv97RLd1UJUbyheNG10g9USc7rNJ4A,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
http://tracxn.com/d/companies/livspace/__jW3bucmuxxt7wnW0Ru8fEhLj0iTod5V8Roa0OsWdp9I/funding-and-investors,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
http://tracxn.com/d/companies/meesho/__h-YKqJF0c073ZI2SvdQHHV1gDZKoXmD-Nlk5gSZPn6c/funding-and-investors,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
http://tracxn.com/d/legal-entities/india/krutrim-si-designs-private-limited/__9G50xTDabip2JhKF0KQ-mP-paWAXgVRrSmd5d814fCo,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://app.dealroom.co/companies/miko,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://dockets.justia.com/docket/illinois/ilcdce/3:2025cv03399/98340,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://exa.ai/websets/directory/pixxel-offices,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/a-year-of-pink-slips-9500-layoffs-among-indian-startups-in-2025,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/acko-narrows-fy25-loss-by-36-7-to-inr-424-cr,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/apna-narrows-fy25-loss-to-inr-50-cr-even-as-revenue-dips,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/celcius-logistics-bags-inr-250-cr-to-expand-presence-in-non-metro-cities,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/coinswitchs-fy25-loss-more-than-doubles-to-37-6-mn,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/dhan-becomes-unicorn-with-120-mn-funding-round,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/dhan-parent-raises-fy26-profit-declines-20-to-%E2%82%B9326-cr-revenue-crosses-%E2%82%B9900-cr,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/dream11-parent-dream-sports-raises-225-mn-led-by-tiger-global-tpg-global-others,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/euler-motors-trims-fy25-net-loss-by-12-to-inr-200-cr,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/exclusive-games24x7-is-indias-99th-unicorn-raises-75-mn,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/exclusive-hundreds-lose-jobs-amid-zeptos-automation-push,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/exclusive-infra-market-to-raise-83-mn-from-founders-nikhil-kamath-tiger-global,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/fintech-startup-snapmint-bags-18-mn-to-launch-new-bnpl-products,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
https://inc42.com/buzz/fintech-unicorn-moneyviews-fy25-profit-surges-40-to-inr-240-cr,FAILED,0,"{'code': 'UNKNOWN', 'message': ""EPERM: operation not permitted, open '/Users/Mitesh Gada/Documents/Projects/.monid/xdg/m"
